GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wsOnpe,pe.gob.onpe.wsonpe.projections,FindConfigurationProjection,419,36,92,0,11,1,60,1,14,1
wsOnpe,pe.gob.onpe.wsonpe.projections,FindTableElectionProjection,104,0,20,0,3,0,16,0,6,0
wsOnpe,pe.gob.onpe.wsonpe.constants,WebService,2,12,0,0,1,6,1,3,1,3
wsOnpe,pe.gob.onpe.wsonpe.constants,CryptoValues,2,13,0,0,1,7,1,3,1,3
wsOnpe,pe.gob.onpe.wsonpe,WsOnpeApplication,5,3,0,0,2,1,1,1,1,1
wsOnpe,pe.gob.onpe.wsonpe.dao.impl,TabVersionDaoImpl,69,6,4,0,18,1,3,1,1,1
wsOnpe,pe.gob.onpe.wsonpe.dao.impl,TabProcesoDaoImpl,13,6,2,0,4,1,2,1,1,1
wsOnpe,pe.gob.onpe.wsonpe.model,TabTareasMesa,436,0,86,0,11,0,68,0,25,0
wsOnpe,pe.gob.onpe.wsonpe.model,TabProceso,397,0,78,0,11,0,62,0,23,0
wsOnpe,pe.gob.onpe.wsonpe.model,TabConfTx,712,3,142,0,18,1,109,1,38,1
wsOnpe,pe.gob.onpe.wsonpe.model,TabMesaTransmitida,797,0,158,0,20,0,122,0,43,0
wsOnpe,pe.gob.onpe.wsonpe.model,TabEleccion,464,11,94,0,11,2,71,3,24,3
wsOnpe,pe.gob.onpe.wsonpe.model,TabParametro,235,0,46,0,6,0,38,0,15,0
wsOnpe,pe.gob.onpe.wsonpe.model,TabVersion,396,0,78,0,10,0,62,0,23,0
wsOnpe,pe.gob.onpe.wsonpe.model,TabUsuario,781,17,158,0,17,3,117,5,38,5
wsOnpe,pe.gob.onpe.wsonpe.service,FTPService.LoggingPrintWriter,9,33,2,2,3,10,3,3,1,3
wsOnpe,pe.gob.onpe.wsonpe.service,FTPService,37,87,2,2,18,32,3,6,1,6
wsOnpe,pe.gob.onpe.wsonpe.service,TramaService,2,513,2,44,0,90,2,24,0,3
wsOnpe,pe.gob.onpe.wsonpe.service,AsyncSynchroService,32,122,4,8,6,23,5,5,1,3
wsOnpe,pe.gob.onpe.wsonpe.service,UserService,12,662,6,34,2,126,6,26,0,12
wsOnpe,pe.gob.onpe.wsonpe.service,TransmisionService,362,341,28,30,63,62,19,18,0,8
wsOnpe,pe.gob.onpe.wsonpe.service,IndexService,113,9,8,0,24,4,5,1,1,1
wsOnpe,pe.gob.onpe.wsonpe.service,FileService,0,321,2,14,0,54,2,9,0,3
wsOnpe,pe.gob.onpe.wsonpe.service,LoginService,167,107,7,5,34,24,6,6,2,4
wsOnpe,pe.gob.onpe.wsonpe.service,ActaService,18,562,9,19,5,93,7,13,0,6
wsOnpe,pe.gob.onpe.wsonpe.service,VersionService,142,55,12,0,27,14,6,3,0,3
wsOnpe,pe.gob.onpe.wsonpe.dto,UserResponse,555,0,102,0,15,0,81,0,30,0
wsOnpe,pe.gob.onpe.wsonpe.dto,FileRequest,283,108,70,0,0,12,39,18,4,18
wsOnpe,pe.gob.onpe.wsonpe.dto,ActaRequest,402,186,102,2,0,22,54,28,3,27
wsOnpe,pe.gob.onpe.wsonpe.dto,UserResponse.Elecciones,104,0,20,0,4,0,16,0,6,0
wsOnpe,pe.gob.onpe.wsonpe.dto,DiagnosticoRequest,387,0,70,0,10,0,56,0,21,0
wsOnpe,pe.gob.onpe.wsonpe.dto,TramaLogRequest,287,59,62,0,2,9,36,15,5,15
wsOnpe,pe.gob.onpe.wsonpe.dto,MensajeWsResponse,123,44,30,0,0,6,18,9,3,9
wsOnpe,pe.gob.onpe.wsonpe.dto,SynchroRequest,230,66,54,0,0,9,31,14,4,14
wsOnpe,pe.gob.onpe.wsonpe.dto,LoginRequest,173,24,34,0,3,5,24,7,7,7
wsOnpe,pe.gob.onpe.wsonpe.dto,UserRequest,338,56,70,0,7,9,42,16,7,16
wsOnpe,pe.gob.onpe.wsonpe.utils,ZipUtils,74,36,0,0,18,9,1,3,1,3
wsOnpe,pe.gob.onpe.wsonpe.utils,NetClientPost,4,337,2,10,1,73,2,11,0,7
wsOnpe,pe.gob.onpe.wsonpe.utils,WsOnpeUtils,62,300,10,8,16,78,6,16,0,13
wsOnpe,pe.gob.onpe.wsonpe.utils,Crypto,0,205,0,0,0,47,0,5,0,5
wsOnpe,pe.gob.onpe.wsonpe.utils,WsOnpeFileUtils,8,189,11,31,3,45,11,20,0,10
wsOnpe,pe.gob.onpe.wsonpe.utils,ElectionInformation,98,26,22,0,0,5,15,6,4,6
wsOnpe,pe.gob.onpe.wsonpe.controller,VersionController,53,10,4,0,9,4,4,2,2,2
wsOnpe,pe.gob.onpe.wsonpe.controller,FileController,10,76,2,2,1,13,2,4,0,4
wsOnpe,pe.gob.onpe.wsonpe.controller,ActaController,0,129,1,13,0,23,1,10,0,4
wsOnpe,pe.gob.onpe.wsonpe.controller,UserController,142,10,20,0,24,4,12,2,2,2
wsOnpe,pe.gob.onpe.wsonpe.controller,IndexController,0,11,0,0,0,4,0,2,0,2
wsOnpe,pe.gob.onpe.wsonpe.controller,TramaController,0,38,0,0,0,11,0,4,0,4
wsOnpe,pe.gob.onpe.wsonpe.controller,CustomErrorController,24,3,6,0,8,1,4,1,1,1
wsOnpe,pe.gob.onpe.wsonpe.controller,LoginController,62,10,8,0,10,4,6,2,2,2
wsOnpe,pe.gob.onpe.wsonpe.enums,AccionesVersionEnum,28,0,0,0,8,0,4,0,4,0
wsOnpe,pe.gob.onpe.wsonpe.enums,AccionesUsuarioEnum,100,0,0,0,17,0,4,0,4,0
wsOnpe,pe.gob.onpe.wsonpe.utils.exceptions,InterruptedCustomException,0,10,0,0,0,4,0,2,0,2
